LAT;;;;;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500;13.5500
LON;;;;;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167;-88.8167
ASL;;;;;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000;481.000
CITY;;;;;India;India;India;India;India;India;India;India;India;India;India;India;India;India;India;India;India;India;India;India
DOMAIN;;;;;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Precipitation (low resolution);Snowfall Amount (high resolution);Snowfall Amount (low resolution);Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;mm;cm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6;-6

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;06;16;00;00;25.20;85.00;1012.70;0.50;0.00;0.00;0.00;94.00;4.00;0.00;94.00;-999.00;0.00;3.08;200.56;5.35;199.65;9.83;156.25;10.44
2019;06;16;01;00;24.04;95.00;1012.70;0.40;0.00;0.00;0.00;81.00;0.00;0.00;81.00;0.00;0.00;6.29;193.24;10.37;200.32;10.85;174.29;9.72
2019;06;16;02;00;23.24;98.00;1012.30;0.00;0.00;0.00;0.00;36.00;0.00;0.00;36.00;0.00;0.00;5.59;194.93;8.85;206.57;5.35;160.35;7.92
2019;06;16;03;00;23.49;98.00;1011.90;0.00;0.00;0.00;0.00;100.00;0.00;74.00;100.00;0.00;0.00;5.48;203.20;8.29;214.38;3.42;108.43;3.60
2019;06;16;04;00;23.00;97.00;1011.60;0.10;0.00;0.00;0.00;100.00;0.00;82.00;100.00;0.00;0.00;3.89;213.69;6.37;222.71;8.21;74.74;2.52
2019;06;16;05;00;22.60;97.00;1012.40;0.00;0.00;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;2.88;270.00;5.15;257.91;14.06;76.68;1.08
2019;06;16;06;00;23.62;89.00;1012.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15.13;5.15;347.91;4.69;4.40;13.34;93.09;5.40
2019;06;16;07;00;25.32;81.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;184.23;3.76;16.70;3.26;6.34;15.12;91.36;5.76
2019;06;16;08;00;26.17;74.00;1012.90;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;60.00;374.69;3.26;96.34;3.62;95.71;13.80;97.50;11.52
